Hampton Inn & Suites Boston Crosstown Center,433800288,Value,3
Hampton Inn & Suites Boston Crosstown Center,433800288,Service,4
Hampton Inn & Suites Boston Crosstown Center,432574025,Value,5
Hampton Inn & Suites Boston Crosstown Center,432574025,Sleep Quality,5
Hampton Inn & Suites Boston Crosstown Center,432574025,Service,5
Hampton Inn & Suites Boston Crosstown Center,432574025,Location,5
Hampton Inn & Suites Boston Crosstown Center,432574025,Rooms,5
Hampton Inn & Suites Boston Crosstown Center,431403129,Value,4
Hampton Inn & Suites Boston Crosstown Center,431403129,Sleep Quality,4
Hampton Inn & Suites Boston Crosstown Center,431403129,Service,5
Hampton Inn & Suites Boston Crosstown Center,431403129,Location,3
Hampton Inn & Suites Boston Crosstown Center,431403129,Rooms,4
Hampton Inn & Suites Boston Crosstown Center,430552344,Value,4
Hampton Inn & Suites Boston Crosstown Center,430552344,Service,4
Hampton Inn & Suites Boston Crosstown Center,430552344,Rooms,3
Hampton Inn & Suites Boston Crosstown Center,430356627,Value,5
Hampton Inn & Suites Boston Crosstown Center,430356627,Service,5
Hampton Inn & Suites Boston Crosstown Center,429833125,Value,5
Hampton Inn & Suites Boston Crosstown Center,429833125,Sleep Quality,5
Hampton Inn & Suites Boston Crosstown Center,429833125,Service,5
Hampton Inn & Suites Boston Crosstown Center,429833125,Location,5
Hampton Inn & Suites Boston Crosstown Center,429833125,Rooms,5
Hampton Inn & Suites Boston Crosstown Center,429806755,Value,2
Hampton Inn & Suites Boston Crosstown Center,429806755,Sleep Quality,1
Hampton Inn & Suites Boston Crosstown Center,429806755,Service,5
Hampton Inn & Suites Boston Crosstown Center,429806755,Location,1
Hampton Inn & Suites Boston Crosstown Center,429806755,Rooms,3
Hampton Inn & Suites Boston Crosstown Center,429444357,Value,5
Hampton Inn & Suites Boston Crosstown Center,429444357,Sleep Quality,5
Hampton Inn & Suites Boston Crosstown Center,429444357,Service,5
Hampton Inn & Suites Boston Crosstown Center,429444357,Location,5
Hampton Inn & Suites Boston Crosstown Center,429444357,Rooms,5
Hampton Inn & Suites Boston Crosstown Center,428946644,Sleep Quality,4
Hampton Inn & Suites Boston Crosstown Center,428946644,Service,5
Hampton Inn & Suites Boston Crosstown Center,428946644,Location,4
Hampton Inn & Suites Boston Crosstown Center,429050858,Value,5
Hampton Inn & Suites Boston Crosstown Center,429050858,Sleep Quality,5
Hampton Inn & Suites Boston Crosstown Center,429050858,Service,5
Hampton Inn & Suites Boston Crosstown Center,429050858,Location,5
Hampton Inn & Suites Boston Crosstown Center,429050858,Rooms,5
Hampton Inn & Suites Boston Crosstown Center,428571683,Value,5
Hampton Inn & Suites Boston Crosstown Center,428571683,Sleep Quality,5
Hampton Inn & Suites Boston Crosstown Center,428571683,Service,5
Hampton Inn & Suites Boston Crosstown Center,428571683,Location,5
Hampton Inn & Suites Boston Crosstown Center,428571683,Rooms,5
Hampton Inn & Suites Boston Crosstown Center,428497704,Value,3
Hampton Inn & Suites Boston Crosstown Center,428497704,Sleep Quality,2
Hampton Inn & Suites Boston Crosstown Center,428497704,Service,4
Hampton Inn & Suites Boston Crosstown Center,428497704,Location,2
Hampton Inn & Suites Boston Crosstown Center,428497704,Rooms,3
Hampton Inn & Suites Boston Crosstown Center,428320845,Value,5
Hampton Inn & Suites Boston Crosstown Center,428320845,Sleep Quality,5
Hampton Inn & Suites Boston Crosstown Center,428320845,Service,5
Hampton Inn & Suites Boston Crosstown Center,428320845,Location,5
Hampton Inn & Suites Boston Crosstown Center,428320845,Rooms,5
Hampton Inn & Suites Boston Crosstown Center,427562608,Value,3
Hampton Inn & Suites Boston Crosstown Center,427562608,Sleep Quality,2
Hampton Inn & Suites Boston Crosstown Center,427562608,Service,4
Hampton Inn & Suites Boston Crosstown Center,427562608,Location,3
Hampton Inn & Suites Boston Crosstown Center,427562608,Rooms,3
Hampton Inn & Suites Boston Crosstown Center,427026742,Service,5
